1;Suzanne Collins;The Hunger Games;https://images.gr-assets.com/books/1447303603s/2767052.jpg
2;J.K. Rowling;Harry Potter and the Philosopher's Stone;https://images.gr-assets.com/books/1474154022s/3.jpg
3;Stephenie Meyer;Twilight;https://images.gr-assets.com/books/1361039443s/41865.jpg
4;Harper Lee;To Kill a Mockingbird;https://images.gr-assets.com/books/1361975680s/2657.jpg
5;F. Scott Fitzgerald;The Great Gatsby;https://images.gr-assets.com/books/1490528560s/4671.jpg
6;John Green;The Fault in Our Stars;https://images.gr-assets.com/books/1360206420s/11870085.jpg
7;J.R.R. Tolkien;The Hobbit or There and Back Again;https://images.gr-assets.com/books/1372847500s/5907.jpg
8;J.D. Salinger;The Catcher in the Rye;https://images.gr-assets.com/books/1398034300s/5107.jpg
9;Dan Brown;Angels & Demons ;https://images.gr-assets.com/books/1303390735s/960.jpg
10;Jane Austen;Pride and Prejudice;https://images.gr-assets.com/books/1320399351s/1885.jpg
11;Khaled Hosseini;The Kite Runner ;https://images.gr-assets.com/books/1484565687s/77203.jpg
12;Veronica Roth;Divergent;https://images.gr-assets.com/books/1328559506s/13335037.jpg
13;George Orwell;Nineteen Eighty-Four;https://images.gr-assets.com/books/1348990566s/5470.jpg
14;George Orwell;Animal Farm: A Fairy Story;https://images.gr-assets.com/books/1424037542s/7613.jpg
15;Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday;Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944;https://images.gr-assets.com/books/1358276407s/48855.jpg
16;Stieg Larsson, Reg Keeland;M√§n som hatar kvinnor;https://images.gr-assets.com/books/1327868566s/2429135.jpg
17;Suzanne Collins;Catching Fire;https://images.gr-assets.com/books/1358273780s/6148028.jpg
18;J.K. Rowling, Rufus Beck;Harry Potter and the Prisoner of Azkaban;https://images.gr-assets.com/books/1499277281s/5.jpg
19;J.R.R. Tolkien; The Fellowship of the Ring;https://images.gr-assets.com/books/1298411339s/34.jpg
20;Suzanne Collins;Mockingjay;https://images.gr-assets.com/books/1358275419s/7260188.jpg
21;J.K. Rowling;Harry Potter and the Order of the Phoenix;https://images.gr-assets.com/books/1387141547s/2.jpg
22;Alice Sebold;The Lovely Bones;https://images.gr-assets.com/books/1457810586s/12232938.jpg
23;J.K. Rowling;Harry Potter and the Chamber of Secrets;https://images.gr-assets.com/books/1474169725s/15881.jpg
24;J.K. Rowling;Harry Potter and the Goblet of Fire;https://images.gr-assets.com/books/1361482611s/6.jpg
25;J.K. Rowling;Harry Potter and the Deathly Hallows;https://images.gr-assets.com/books/1474171184s/136251.jpg
26;Dan Brown;The Da Vinci Code;https://images.gr-assets.com/books/1303252999s/968.jpg
27;J.K. Rowling;Harry Potter and the Half-Blood Prince;https://images.gr-assets.com/books/1361039191s/1.jpg
28;William Golding;Lord of the Flies ;https://images.gr-assets.com/books/1327869409s/7624.jpg
29;William Shakespeare, Robert Jackson;An Excellent conceited Tragedie of Romeo and Juliet;https://images.gr-assets.com/books/1327872146s/18135.jpg
30;Gillian Flynn;Gone Girl;https://images.gr-assets.com/books/1339602131s/8442457.jpg
31;Kathryn Stockett;The Help;https://images.gr-assets.com/books/1346100365s/4667024.jpg
32;John Steinbeck;Of Mice and Men ;https://images.gr-assets.com/books/1437235233s/890.jpg
33;Arthur Golden;Memoirs of a Geisha;https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
34;E.L. James;Fifty Shades of Grey;https://images.gr-assets.com/books/1385207843s/10818853.jpg
35;Paulo Coelho, Alan R. Clarke;O Alquimista;https://images.gr-assets.com/books/1483412266s/865.jpg
36;Lois Lowry;The Giver;https://images.gr-assets.com/books/1342493368s/3636.jpg
37;C.S. Lewis;The Lion, the Witch and the Wardrobe;https://images.gr-assets.com/books/1353029077s/100915.jpg
38;Audrey Niffenegger;The Time Traveler's Wife;https://images.gr-assets.com/books/1437728815s/14050.jpg
39;George R.R. Martin;A Game of Thrones;https://images.gr-assets.com/books/1436732693s/13496.jpg
40;Elizabeth Gilbert;Eat, pray, love: one woman's search for everything across Italy, India and Indonesia;https://images.gr-assets.com/books/1503066414s/19501.jpg
41;Rick Riordan;The Lightning Thief;https://images.gr-assets.com/books/1400602609s/28187.jpg
42;Louisa May Alcott;Little Women;https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
43;Charlotte Brontë, Michael Mason;Jane Eyre;https://images.gr-assets.com/books/1327867269s/10210.jpg
44;Nicholas Sparks;The Notebook;https://images.gr-assets.com/books/1385738917s/15931.jpg
45;Yann Martel;Life of Pi;https://images.gr-assets.com/books/1320562005s/4214.jpg
46;Sara Gruen;Water for Elephants;https://images.gr-assets.com/books/1494428973s/43641.jpg
47;Markus Zusak;The Book Thief;https://images.gr-assets.com/books/1390053681s/19063.jpg
48;Ray Bradbury;Fahrenheit 451;https://images.gr-assets.com/books/1351643740s/4381.jpg
49;Stephenie Meyer;New Moon (Twilight, #2);https://images.gr-assets.com/books/1361039440s/49041.jpg
50;Shel Silverstein;Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein;https://images.gr-assets.com/books/1168052448s/30119.jpg
51;Cassandra Clare;City of Bones;https://images.gr-assets.com/books/1432730315s/256683.jpg
52;Stephenie Meyer;Eclipse;https://images.gr-assets.com/books/1361038355s/428263.jpg
53;Christopher Paolini;Eragon;https://images.gr-assets.com/books/1366212852s/113436.jpg
54;Douglas Adams;The Hitchhiker's Guide to the Galaxy;https://images.gr-assets.com/books/1327656754s/11.jpg
55;Aldous Huxley;Brave New World;https://images.gr-assets.com/books/1487389574s/5129.jpg
56;Stephenie Meyer;Breaking Dawn;https://images.gr-assets.com/books/1361039438s/1162543.jpg
57;Sue Monk Kidd;The Secret Life of Bees;https://images.gr-assets.com/books/1473454532s/37435.jpg
58;Mark Twain, John Seelye, Guy Cardwell;The Adventures of Huckleberry Finn;https://images.gr-assets.com/books/1405973850s/2956.jpg
59;E.B. White, Garth Williams, Rosemary Wells;Charlotte's Web;https://images.gr-assets.com/books/1439632243s/24178.jpg
60;Mark Haddon;The Curious Incident of the Dog in the Night-Time;https://images.gr-assets.com/books/1479863624s/1618.jpg
61;Paula Hawkins;The Girl on the Train;https://images.gr-assets.com/books/1490903702s/22557272.jpg
62;Philip Pullman;Northern Lights;https://images.gr-assets.com/books/1451271747s/119322.jpg
63;Emily Bront√´, Richard J. Dunn;Wuthering Heights;https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
64;Jodi Picoult;My Sister's Keeper;https://images.gr-assets.com/books/1369504683s/10917.jpg
65;Kurt Vonnegut Jr.;Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ;https://images.gr-assets.com/books/1440319389s/4981.jpg
66;Margaret Mitchell;Gone with the Wind;https://images.gr-assets.com/books/1328025229s/18405.jpg
67;Khaled Hosseini;A Thousand Splendid Suns;https://images.gr-assets.com/books/1345958969s/128029.jpg
68;Stephen Chbosky;The Perks of Being a Wallflower;https://images.gr-assets.com/books/1167352178s/22628.jpg
69;Veronica Roth;Insurgent;https://images.gr-assets.com/books/1325667729s/11735983.jpg
70;Orson Scott Card;Ender's Game;https://images.gr-assets.com/books/1408303130s/375802.jpg
71;Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle;Frankenstein or The Modern Prometheus;https://images.gr-assets.com/books/1381512375s/18490.jpg
72;Stephen King;The Shining;https://images.gr-assets.com/books/1353277730s/11588.jpg
73;Stephenie Meyer;The Host;https://images.gr-assets.com/books/1318009171s/1656001.jpg
74;John Green;Looking for Alaska;https://images.gr-assets.com/books/1394798630s/99561.jpg
75;Helen Fielding;;https://images.gr-assets.com/books/1292060045s/227443.jpg
